postcode,gemeente,provincie,gewest
2350,Vosselaar,Antwerpen,Vlaams Gewest
2360,Oud-Turnhout,Antwerpen,Vlaams Gewest
2370,Arendonk,Antwerpen,Vlaams Gewest
2380,Ravels,Antwerpen,Vlaams Gewest
2381,Ravels,Antwerpen,Vlaams Gewest
2382,Ravels,Antwerpen,Vlaams Gewest
2387,Baarle-Hertog,Antwerpen,Vlaams Gewest
2390,Malle,Antwerpen,Vlaams Gewest
2400,Dessel,Antwerpen,Vlaams Gewest
2430,Laakdal,Antwerpen,Vlaams Gewest
2431,Laakdal,Antwerpen,Vlaams Gewest
2440,Geel,Antwerpen,Vlaams Gewest
2450,Meerhout,Antwerpen,Vlaams Gewest
2460,Kasterlee,Antwerpen,Vlaams Gewest
2470,Retie,Antwerpen,Vlaams Gewest
2480,Dessel,Antwerpen,Vlaams Gewest
2490,Balen,Antwerpen,Vlaams Gewest
2491,Balen,Antwerpen,Vlaams Gewest
2500,Lier,Antwerpen,Vlaams Gewest
2520,Ranst,Antwerpen,Vlaams Gewest
2530,Boechout,Antwerpen,Vlaams Gewest
2531,Boechout,Antwerpen,Vlaams Gewest
2540,Hove,Antwerpen,Vlaams Gewest
2547,Lint,Antwerpen,Vlaams Gewest
2550,Kontich,Antwerpen,Vlaams Gewest
2560,Nijlen,Antwerpen,Vlaams Gewest
2570,Duffel,Antwerpen,Vlaams Gewest
2580,Putte,Antwerpen,Vlaams Gewest
2590,Berlaar,Antwerpen,Vlaams Gewest
2600,Antwerpen,Antwerpen,Vlaams Gewest
2610,Antwerpen,Antwerpen,Vlaams Gewest
2620,Hemiksem,Antwerpen,Vlaams Gewest
2627,Schelle,Antwerpen,Vlaams Gewest
2630,Aartselaar,Antwerpen,Vlaams Gewest
2640,Mortsel,Antwerpen,Vlaams Gewest
2650,Edegem,Antwerpen,Vlaams Gewest
2660,Antwerpen,Antwerpen,Vlaams Gewest
2800,Mechelen,Antwerpen,Vlaams Gewest
2801,Mechelen,Antwerpen,Vlaams Gewest
2811,Mechelen,Antwerpen,Vlaams Gewest
2812,Mechelen,Antwerpen,Vlaams Gewest
2820,Bonheiden,Antwerpen,Vlaams Gewest
2830,Willebroek,Antwerpen,Vlaams Gewest
2840,Rumst,Antwerpen,Vlaams Gewest
2845,Niel,Antwerpen,Vlaams Gewest
2850,Boom,Antwerpen,Vlaams Gewest
2860,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest
2861,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest
